Site,Sample,Wet_weight,Dry_weight,Canopy_Depth
Basin,Asco1b,39,13.3,1
Basin,Asco1c,39,13.3,1
Basin,Asco1,39,13.3,1
Basin,Asco2b,83.3,28.7,2.8
Basin,Asco2c,83.3,28.7,2.8
Basin,Asco2,83.3,28.7,2.8
Basin,Asco3b,161.5,47.4,4
Basin,Asco3c,161.5,47.4,4
Basin,Asco3,161.5,47.4,4
Basin,Asco4b,429.3,123.8,6.6
Basin,Asco4c,429.3,123.8,6.6
Basin,Asco4,429.3,123.8,6.6
Basin,Asco5b,851.4,252.2,9.4
Basin,Asco5c,851.4,252.2,9.4
Basin,Asco5,851.4,252.2,9.4
Basin,Fucus1b,34,7.3,2
Basin,Fucus1c,34,7.3,2
Basin,Fucus1,34,7.3,2
Basin,Fucus2b,70.8,17.7,4.2
Basin,Fucus2c,70.8,17.7,4.2
Basin,Fucus2,70.8,17.7,4.2
Basin,Fucus3b,169.6,37.7,6
Basin,Fucus3c,169.6,37.7,6
Basin,Fucus3,169.6,37.7,6
Basin,Fucus4b,304,66.6,7.8
Basin,Fucus4c,304,66.6,7.8
Basin,Fucus4,304,66.6,7.8
Basin,Fucus5a,635.9,125.4,11.8
Basin,Fucus5b,635.9,125.4,11.8
Basin,Fucus5c,635.9,125.4,11.8
Basin,Fucus5,635.9,125.4,11.8
Pemaquid,Asco1,42.4,11.2,1.5
Pemaquid,Asco2,96.4,26.4,2.5
Pemaquid,Asco3,129.5,34,3
Pemaquid,Asco4,174.9,,4.5
Pemaquid,Asco5,181.6,45.2,5
Pemaquid,Asco6,343,,6
Pemaquid,Asco7,409.6,,7
Pemaquid,Asco8,529.2,135.4,7.5
Pemaquid,Fucus1,33,5.6,0.8
Pemaquid,Fucus2,50.2,8.3,1.5
Pemaquid,Fucus4,120.5,,2.5
Pemaquid,Fucus5,199,35.4,2.8
Pemaquid,Fucus6,249.3,,5.6
Pemaquid,Fucus7,401.6,,7.2
Pemaquid,Fucus3,87.2,15.2,3
Pemaquid,Fucus8,514.2,82.1,8.6
Pemaquid,Asco9,301.1,,4.1
Pemaquid,Fucus9,278.9,,5.4
Pemaquid,DAsco1,194.5,,3
Pemaquid,DAsco2,194.5,,3
Pemaquid,DAsco3,194.5,,3
Pemaquid,DAsco4,194.5,,3
Pemaquid,DAsco5,194.5,,3
Pemaquid,DAsco6,194.5,,3
Pemaquid,DFucus1,184.1,,2.4
Pemaquid,DFucus2,184.1,,2.4
Pemaquid,DFucus3,184.1,,2.4
Pemaquid,DFucus4,184.1,,2.4
Pemaquid,DFucus5,184.1,,2.4
Pemaquid,DFucus6,184.1,,2.4
Pemaquid,Chondrus1,37.2,,2.5
Pemaquid,Chondrus2,66.4,,4.3
Pemaquid,Chondrus3,77.5,,3.3
Pemaquid,Chondrus4,92.4,,4.7
Pemaquid2,asco1,69.4,,3
Pemaquid2,asco2,146.7,,5
Pemaquid2,asco3,279,,6
Pemaquid2,asco4,209.3,,5
Pemaquid2,asco5,300.3,,7
Pemaquid2,asco6,564.7,,7
Pemaquid2,asco7,620.8,,9
Pemaquid2,asco8,700.7,,7
Pemaquid2,fucus1,87,,3
Pemaquid2,fucus2,107.8,,5
Pemaquid2,fucus3,355.3,,7
Pemaquid2,fucus4,449.2,,9
Pemaquid2,fucus5,561.4,,9
Pemaquid2,fucus6,599.2,,9
Pemaquid2,fucus7,659.8,,9
Pemaquid2,fucus8,699.2,,11
